,popularity,duration,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_BLACKPINK,artist_BTS,artist_ENHYPEN,artist_ITZY,artist_IU,artist_JEON SOMI,artist_MAMAMOO,artist_Others,artist_Red Velvet,artist_SEVENTEEN,artist_Stray Kids,artist_TOMORROW X TOGETHER,artist_TWICE,artist_aespa,artist_j-hope
0,78,168.227,0,0.826,0.553,1,-10.121,0,0.234,0.163,4.12e-05,0.135,0.4,140.037,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,73,169.566,0,0.752,0.642,3,-5.165,0,0.0869,0.0861,0.0,0.0953,0.388,95.043,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,73,200.689,0,0.804,0.652,8,-6.282,1,0.0898,0.0267,0.000782,0.118,0.854,150.076,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,79,207.481,0,0.566,0.716,1,-5.733,1,0.0424,0.00691,0.0,0.37,0.45,81.068,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,85,199.053,0,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,85,186.964,0,0.794,0.719,0,-7.227,1,0.0761,0.0119,0.0,0.276,0.69,90.016,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,82,179.172,1,0.918,0.585,7,-7.781,1,0.0889,0.0627,0.0,0.624,0.519,131.966,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,80,162.569,1,0.647,0.723,5,-6.214,1,0.0491,0.00503,0.0,0.176,0.443,105.001,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,75,180.956,0,0.813,0.787,11,-4.254,1,0.0777,0.0452,0.000107,0.0506,0.326,130.018,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,76,242.333,0,0.557,0.719,2,-4.515,0,0.0371,0.00267,0.0,0.306,0.345,77.502,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,87,175.889,0,0.813,0.657,0,-6.447,1,0.0372,0.00269,0.0,0.183,0.651,110.053,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,78,228.615,0,0.637,0.799,2,-4.518,1,0.0338,0.394,0.0,0.0921,0.57,104.996,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,71,209.355,0,0.671,0.859,4,-3.922,0,0.0833,0.0313,0.0,0.267,0.39,139.931,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,84,204.939,0,0.724,0.818,8,-3.747,1,0.168,0.0201,0.0,0.0358,0.696,77.004,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,85,193.593,0,0.559,0.885,1,-4.515,1,0.189,0.0432,0.0,0.333,0.683,172.029,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,83,186.964,0,0.794,0.719,0,-7.227,1,0.0761,0.0119,0.0,0.276,0.69,90.016,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,80,187.585,0,0.702,0.741,9,-5.33,1,0.0427,0.00544,0.0,0.337,0.646,124.925,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,83,164.952,0,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0788,0.695,109.997,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,78,164.441,0,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,88,176.973,0,0.68,0.922,0,-1.215,1,0.121,0.103,0.0,0.0877,0.799,125.014,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,86,177.466,0,0.772,0.907,3,-2.438,0,0.124,0.136,0.0,0.334,0.783,119.973,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,74,200.306,0,0.689,0.678,5,-4.287,0,0.119,0.0702,0.0,0.0889,0.335,145.883,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,83,168.437,0,0.863,0.62,7,-7.167,1,0.135,0.0508,0.00324,0.129,0.432,103.971,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,78,184.248,1,0.693,0.606,7,-5.997,1,0.0308,0.00817,0.0,0.0942,0.447,129.942,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,71,199.122,0,0.699,0.588,9,-6.533,0,0.0402,0.00807,0.000131,0.107,0.35,151.971,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,73,175.889,0,0.813,0.657,0,-6.447,1,0.0372,0.00269,0.0,0.183,0.651,110.053,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,75,217.051,0,0.584,0.885,0,-3.571,0,0.104,0.0244,0.0,0.357,0.605,92.9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,73,192.765,0,0.658,0.732,6,-4.762,1,0.0654,0.00513,0.0,0.13,0.409,127.995,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,78,264.48,0,0.633,0.511,2,-5.665,1,0.0368,0.434,0.0,0.248,0.29,116.855,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,74,181.373,0,0.659,0.799,1,-2.849,0,0.0629,0.417,0.0,0.0562,0.782,103.991,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
